Thu Dec  7 23:59:39 2023 Epoch 46, lr: 0.0000885, val loss: 2.23094, acc: 60.35156
Thu Dec  7 23:59:46 2023 Epoch 47, lr: 0.0000880, val loss: 2.22582, acc: 60.13184
Thu Dec  7 23:59:53 2023 Epoch 48, lr: 0.0000875, val loss: 2.21903, acc: 60.52246
Fri Dec  8 00:00:00 2023 Epoch 49, lr: 0.0000870, val loss: 2.21913, acc: 60.33936
Fri Dec  8 00:00:07 2023 Epoch 50, lr: 0.0000864, val loss: 2.19125, acc: 60.87646
Fri Dec  8 00:00:14 2023 Epoch 51, lr: 0.0000859, val loss: 2.18014, acc: 60.98633
Fri Dec  8 00:00:21 2023 Epoch 52, lr: 0.0000854, val loss: 2.16850, acc: 61.46240
Fri Dec  8 00:00:28 2023 Epoch 53, lr: 0.0000848, val loss: 2.17587, acc: 61.21826
Fri Dec  8 00:00:34 2023 Epoch 54, lr: 0.0000842, val loss: 2.16394, acc: 61.53564
Fri Dec  8 00:00:41 2023 Epoch 55, lr: 0.0000837, val loss: 2.17853, acc: 60.93750
Fri Dec  8 00:00:48 2023 Epoch 56, lr: 0.0000831, val loss: 2.14098, acc: 61.80420
Fri Dec  8 00:00:55 2023 Epoch 57, lr: 0.0000825, val loss: 2.12884, acc: 62.24365
Fri Dec  8 00:01:01 2023 Epoch 58, lr: 0.0000819, val loss: 2.12740, acc: 62.20703
Fri Dec  8 00:01:08 2023 Epoch 59, lr: 0.0000813, val loss: 2.14454, acc: 61.79199
Fri Dec  8 00:01:14 2023 Epoch 60, lr: 0.0000806, val loss: 2.12082, acc: 62.45117
Fri Dec  8 00:01:21 2023 Epoch 61, lr: 0.0000800, val loss: 2.10537, acc: 62.74414
Fri Dec  8 00:01:28 2023 Epoch 62, lr: 0.0000794, val loss: 2.09504, acc: 62.65869
Fri Dec  8 00:01:35 2023 Epoch 63, lr: 0.0000788, val loss: 2.08443, acc: 63.25684
Fri Dec  8 00:01:41 2023 Epoch 64, lr: 0.0000781, val loss: 2.08162, acc: 63.92822
Fri Dec  8 00:01:48 2023 Epoch 65, lr: 0.0000775, val loss: 2.07535, acc: 63.30566
Fri Dec  8 00:01:55 2023 Epoch 66, lr: 0.0000768, val loss: 2.06562, acc: 63.74512
Fri Dec  8 00:02:01 2023 Epoch 67, lr: 0.0000761, val loss: 2.05400, acc: 63.58643
Fri Dec  8 00:02:08 2023 Epoch 68, lr: 0.0000755, val loss: 2.05281, acc: 64.00146
Fri Dec  8 00:02:15 2023 Epoch 69, lr: 0.0000748, val loss: 2.07114, acc: 63.47656
Fri Dec  8 00:02:21 2023 Epoch 70, lr: 0.0000741, val loss: 2.05556, acc: 63.56201
Fri Dec  8 00:02:28 2023 Epoch 71, lr: 0.0000734, val loss: 2.02920, acc: 64.46533
Fri Dec  8 00:02:35 2023 Epoch 72, lr: 0.0000727, val loss: 2.02720, acc: 64.16016
Fri Dec  8 00:02:41 2023 Epoch 73, lr: 0.0000720, val loss: 2.02853, acc: 64.19678
Fri Dec  8 00:02:48 2023 Epoch 74, lr: 0.0000713, val loss: 2.01558, acc: 64.61182
Fri Dec  8 00:02:55 2023 Epoch 75, lr: 0.0000706, val loss: 2.01564, acc: 64.42871
Fri Dec  8 00:03:01 2023 Epoch 76, lr: 0.0000699, val loss: 2.01617, acc: 64.68506
Fri Dec  8 00:03:08 2023 Epoch 77, lr: 0.0000691, val loss: 2.00676, acc: 65.03906
Fri Dec  8 00:03:15 2023 Epoch 78, lr: 0.0000684, val loss: 2.00746, acc: 64.61182
Fri Dec  8 00:03:21 2023 Epoch 79, lr: 0.0000677, val loss: 1.99371, acc: 64.99023
Fri Dec  8 00:03:28 2023 Epoch 80, lr: 0.0000669, val loss: 1.99310, acc: 64.92920
Fri Dec  8 00:03:35 2023 Epoch 81, lr: 0.0000662, val loss: 1.98309, acc: 65.06348
Fri Dec  8 00:03:42 2023 Epoch 82, lr: 0.0000655, val loss: 1.99090, acc: 65.11230
Fri Dec  8 00:03:49 2023 Epoch 83, lr: 0.0000647, val loss: 1.97670, acc: 65.27100
Fri Dec  8 00:03:55 2023 Epoch 84, lr: 0.0000639, val loss: 1.96987, acc: 65.66162
Fri Dec  8 00:04:02 2023 Epoch 85, lr: 0.0000632, val loss: 1.97422, acc: 65.17334
Fri Dec  8 00:04:09 2023 Epoch 86, lr: 0.0000624, val loss: 1.97149, acc: 65.30762
Fri Dec  8 00:04:15 2023 Epoch 87, lr: 0.0000617, val loss: 1.96918, acc: 65.51514
Fri Dec  8 00:04:22 2023 Epoch 88, lr: 0.0000609, val loss: 1.95867, acc: 65.51514
